panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach
Słowenia,2016,457.0,140.0,0.04,0.01,152.0,37.0,0.23,0.06,597.0,0.05,189.0,0.29000000000000004
Słowenia,2017,779.0,329.0,0.07,0.03,336.0,187.0,0.46,0.26,1108.0,0.1,523.0,0.72
Słowenia,2018,1308.0,580.0,0.11,0.05,480.0,216.0,0.64,0.29,1888.0,0.16,696.0,0.9299999999999999
Słowenia,2019,1998.0,659.0,0.17,0.06,579.0,84.0,0.8,0.12,2657.0,0.23,663.0,0.92
Słowenia,2020,3670.0,792.0,0.31,0.07,1667.0,118.0,3.12,0.22,4462.0,0.38,1785.0,3.3400000000000003
Słowenia,2021,5413.0,1088.0,0.46,0.09,1688.0,284.0,3.13,0.53,6501.0,0.55,1972.0,3.66
Słowenia,2022,7977.0,1546.0,0.66,0.13,2319.0,626.0,5.0,1.35,9523.0,0.79,2945.0,6.35
Słowenia,2023,12743.0,2523.0,1.04,0.21,4338.0,1074.0,8.86,2.19,15266.0,1.25,5412.0,11.049999999999999
Słowenia,2024,16969.0,3223.0,1.34,0.25,3148.0,1143.0,5.98,2.17,20192.0,1.59,4291.0,8.15
Słowenia,2025,22563.0,5213.0,1.75,0.41,6419.0,1939.0,11.15,3.37,27776.0,2.16,8358.0,14.52
Turcja,2008,,,,,0.0,0.0,,,,,0.0,
Turcja,2009,,,,,0.0,0.0,,,,,0.0,
Turcja,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Turcja,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Turcja,2012,230.0,,0.0,,92.0,0.0,0.01,0.0,,,92.0,0.01
Turcja,2013,230.0,,0.0,,,1.0,,0.0,,,,
Turcja,2014,412.0,20.0,0.0,0.0,46.0,22.0,0.01,0.0,432.0,0.0,68.0,0.01
Turcja,2015,565.0,127.0,0.01,0.0,119.0,106.0,0.02,0.01,692.0,0.01,225.0,0.03
Turcja,2016,643.0,210.0,0.01,0.0,44.0,83.0,0.01,0.01,853.0,0.01,127.0,0.02
Turcja,2017,760.0,237.0,0.01,0.0,77.0,34.0,0.01,0.0,997.0,0.01,111.0,0.01
Turcja,2018,952.0,281.0,0.01,0.0,192.0,45.0,0.04,0.01,1233.0,0.01,237.0,0.05
Turcja,2019,1176.0,539.0,0.01,0.0,229.0,94.0,0.06,0.02,1715.0,0.01,323.0,0.08
Turcja,2020,2797.0,1026.0,0.02,0.01,891.0,398.0,0.12,0.05,3823.0,0.03,1289.0,0.16999999999999998
Turcja,2021,6267.0,1795.0,0.05,0.01,2968.0,915.0,0.42,0.13,8062.0,0.060000000000000005,3883.0,0.55
Turcja,2022,14552.0,2346.0,0.1,0.02,7042.0,543.0,1.01,0.08,16898.0,0.12000000000000001,7585.0,1.09
Turcja,2023,80043.0,5906.0,0.53,0.04,65708.0,2651.0,8.46,0.34,85949.0,0.5700000000000001,68359.0,8.8
Turcja,2024,183151.0,19543.0,1.13,0.12,96497.0,14300.0,9.84,1.46,202694.0,1.25,110797.0,11.3
Turcja,2025,375192.0,69231.0,2.18,0.4,191222.0,47969.0,17.63,4.42,444423.0,2.58,239191.0,22.049999999999997
Wielka_Brytania,2008,189.0,,,,0.0,0.0,,,,,0.0,
Wielka_Brytania,2009,354.0,,0.0,,124.0,0.0,0.01,0.0,,,124.0,0.01
Wielka_Brytania,2010,1562.0,176.0,0.01,0.0,90.0,0.0,0.0,0.0,1738.0,0.01,90.0,0.0
Wielka_Brytania,2011,2635.0,176.0,0.01,0.0,1073.0,7.0,0.06,0.0,2811.0,0.01,1080.0,0.06
Wielka_Brytania,2012,4109.0,1184.0,0.01,0.0,1416.0,989.0,0.07,0.05,5293.0,0.01,2405.0,0.12000000000000001
Wielka_Brytania,2013,6268.0,2262.0,0.02,0.01,2539.0,902.0,0.11,0.04,8530.0,0.03,3441.0,0.15
Wielka_Brytania,2014,12363.0,9886.0,0.04,0.03,7501.0,7076.0,0.3,0.29,22249.0,0.07,14577.0,0.59
Wielka_Brytania,2015,20958.0,27655.0,0.07,0.09,11443.0,17091.0,0.43,0.65,48613.0,0.16,28534.0,1.08
Wielka_Brytania,2016,29720.0,55041.0,0.09,0.17,11854.0,26270.0,0.44,0.98,84761.0,0.26,38124.0,1.42
Wielka_Brytania,2017,42020.0,87030.0,0.13,0.27,15813.0,32360.0,0.62,1.27,129050.0,0.4,48173.0,1.8900000000000001
Wielka_Brytania,2018,56310.0,126277.0,0.17,0.39,17111.0,42845.0,0.72,1.81,182587.0,0.56,59956.0,2.5300000000000002
Wielka_Brytania,2019,90858.0,156086.0,0.28,0.47,37972.0,36425.0,1.64,1.58,246944.0,0.75,74397.0,3.2199999999999998
Wielka_Brytania,2020,193992.0,214632.0,0.59,0.66,107561.0,67141.0,6.59,4.12,408624.0,1.25,174702.0,10.71
Wielka_Brytania,2021,379220.0,321551.0,1.15,0.98,191359.0,120146.0,11.62,7.29,700771.0,2.13,311505.0,18.91
Wielka_Brytania,2022,628984.0,413759.0,1.9,1.25,267171.0,101722.0,16.55,6.3,1042743.0,3.15,368893.0,22.85
Wielka_Brytania,2023,930649.0,540108.0,2.77,1.61,314688.0,142568.0,16.54,7.49,1470757.0,4.38,457256.0,24.03
Wielka_Brytania,2024,1287198.0,686740.0,3.79,2.02,383581.0,168124.0,19.55,8.57,1973938.0,5.8100000000000005,551705.0,28.12
Wielka_Brytania,2025,1736413.0,903565.0,5.03,2.62,473348.0,225151.0,23.43,11.14,2639978.0,7.65,698499.0,34.57
Węgry,2008,,,,,0.0,0.0,,,,,0.0,
Węgry,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Węgry,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Węgry,2011,9.0,,0.0,,9.0,0.0,0.02,0.0,,,9.0,0.02
Węgry,2012,90.0,17.0,0.0,0.0,8.0,17.0,0.02,0.03,107.0,0.0,25.0,0.05
Węgry,2013,110.0,17.0,0.0,0.0,14.0,,0.02,,127.0,0.0,,
Węgry,2014,175.0,40.0,0.01,0.0,29.0,6.0,0.04,0.01,215.0,0.01,35.0,0.05
Węgry,2015,342.0,99.0,0.01,0.0,195.0,30.0,0.25,0.04,441.0,0.01,225.0,0.29
Węgry,2016,758.0,210.0,0.02,0.01,232.0,,0.24,,968.0,0.03,,
Węgry,2017,1996.0,522.0,0.06,0.02,725.0,359.0,0.62,0.31,2518.0,0.08,1084.0,0.9299999999999999
Węgry,2018,3839.0,1268.0,0.11,0.03,1287.0,680.0,0.94,0.5,5107.0,0.14,1967.0,1.44
Węgry,2019,6595.0,2122.0,0.17,0.06,1833.0,1035.0,1.16,0.65,8717.0,0.23,2868.0,1.81
Węgry,2020,11012.0,5856.0,0.28,0.15,2975.0,2982.0,2.32,2.33,16868.0,0.43000000000000005,5957.0,4.65
Węgry,2021,18823.0,8002.0,0.47,0.2,4312.0,4182.0,3.54,3.43,26825.0,0.6699999999999999,8494.0,6.970000000000001
Węgry,2022,29836.0,9945.0,0.72,0.24,4710.0,4872.0,4.22,4.37,39781.0,0.96,9582.0,8.59
Węgry,2023,41212.0,11679.0,0.98,0.28,6090.0,5447.0,5.66,5.06,52891.0,1.26,11537.0,10.719999999999999
Węgry,2024,65449.0,12620.0,1.54,0.3,8565.0,5695.0,7.04,4.68,78069.0,1.84,14260.0,11.719999999999999
Węgry,2025,94009.0,12668.0,2.15,0.29,11002.0,7136.0,8.5,5.51,106677.0,2.44,18138.0,14.01
Włochy,2008,,,,,0.0,0.0,,,,,0.0,
Włochy,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Włochy,2010,,,,,40.0,0.0,0.0,0.0,,,40.0,0.0
Włochy,2011,117.0,,0.0,,117.0,3.0,0.01,0.0,,,120.0,0.01
Włochy,2012,623.0,145.0,0.0,0.0,507.0,145.0,0.04,0.01,768.0,0.0,652.0,0.05
Włochy,2013,1531.0,363.0,0.0,0.0,846.0,162.0,0.06,0.01,1894.0,0.0,1008.0,0.06999999999999999
Włochy,2014,3430.0,832.0,0.01,0.0,1155.0,148.0,0.08,0.01,4262.0,0.01,1303.0,0.09
Włochy,2015,4584.0,1550.0,0.01,0.0,1576.0,740.0,0.1,0.05,6134.0,0.01,2316.0,0.15000000000000002
Włochy,2016,5743.0,3149.0,0.02,0.01,1497.0,1309.0,0.08,0.07,8892.0,0.03,2806.0,0.15000000000000002
Włochy,2017,7560.0,5786.0,0.02,0.02,2109.0,2649.0,0.11,0.13,13346.0,0.04,4758.0,0.24
Włochy,2018,12156.0,10820.0,0.03,0.03,5155.0,4661.0,0.27,0.24,22976.0,0.06,9816.0,0.51
Włochy,2019,22728.0,16811.0,0.06,0.04,10718.0,6488.0,0.55,0.33,39539.0,0.1,17206.0,0.8800000000000001
Włochy,2020,53079.0,44212.0,0.13,0.11,32477.0,27402.0,2.35,1.99,97291.0,0.24,59879.0,4.34
Włochy,2021,118034.0,114589.0,0.3,0.29,67356.0,70378.0,4.62,4.83,232623.0,0.59,137734.0,9.45
Włochy,2022,158131.0,183055.0,0.4,0.46,49407.0,69806.0,3.75,5.3,341186.0,0.8600000000000001,119213.0,9.05
Włochy,2023,219540.0,252640.0,0.55,0.63,66294.0,68814.0,4.23,4.4,472180.0,1.1800000000000002,135108.0,8.63
Włochy,2024,277365.0,286737.0,0.67,0.69,66227.0,52161.0,4.25,3.35,564102.0,1.3599999999999999,118388.0,7.6
Włochy,2025,372693.0,383258.0,0.89,0.91,94618.0,96995.0,6.2,6.36,755951.0,1.8,191613.0,12.56
Łotwa,2008,,,,,0.0,0.0,,,,,0.0,
Łotwa,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Łotwa,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Łotwa,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Łotwa,2012,10.0,,0.0,,6.0,3.0,0.06,0.03,,,9.0,0.09
Łotwa,2013,15.0,6.0,0.0,0.0,,,,,21.0,0.0,,
Łotwa,2014,188.0,9.0,0.03,0.0,158.0,1.0,1.2,0.01,197.0,0.03,159.0,1.21
Łotwa,2015,211.0,23.0,0.03,0.0,17.0,,0.12,,234.0,0.03,,
Łotwa,2016,241.0,26.0,0.04,0.0,19.0,15.0,0.11,0.09,267.0,0.04,34.0,0.2
Łotwa,2017,312.0,49.0,0.05,0.01,62.0,29.0,0.36,0.17,361.0,0.060000000000000005,91.0,0.53
Łotwa,2018,442.0,89.0,0.06,0.01,130.0,29.0,0.76,0.17,531.0,0.06999999999999999,159.0,0.93
Łotwa,2019,658.0,124.0,0.09,0.02,118.0,23.0,0.64,0.12,782.0,0.11,141.0,0.76
Łotwa,2020,1205.0,196.0,0.16,0.03,297.0,90.0,2.14,0.65,1401.0,0.19,387.0,2.79
Łotwa,2021,2106.0,338.0,0.28,0.04,421.0,140.0,2.94,0.98,2444.0,0.32,561.0,3.92
Łotwa,2022,3832.0,568.0,0.49,0.07,1068.0,275.0,6.38,1.64,4400.0,0.56,1343.0,8.02
Łotwa,2023,6369.0,856.0,0.8,0.11,1800.0,396.0,9.48,2.09,7225.0,0.91,2196.0,11.57
Łotwa,2024,9410.0,1390.0,1.19,0.18,1293.0,790.0,7.52,4.6,10800.0,1.3699999999999999,2083.0,12.12
Łotwa,2025,11025.0,4022.0,1.38,0.5,1628.0,2773.0,7.23,12.32,15047.0,1.88,4401.0,19.55
